Date:,18-Jul-22,Issue,2,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,
Work package,WP3,Proton and ion capture,,,,,,,,,,,
Manager,WPM,C. Baker & W. Bertsche,,,,,,,,,,,
,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,
Years, ,Year 1,Year 2,Total,,Year 1,,,,Year 2,,,
Flag,,Fraction,Fraction,Fraction,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Task,All,,,,,,,,,,,,
Institute,Manchester Physics,,,,,,,,,,,,
Staff,Man-Phys-Stf-1,0.10,0.10,0.20,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
Institute,Swansea Physics,,,,,,,,,,,,
Staff,Swns-Phys-PDRA-1,1.00,1.00,2.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Staff,Swns-Phys-Stf-1,0.10,0.10,0.20,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
Institute,UC Berkley (USA),,,,,,,,,,,,
Staff,Consultant,0.04,0.04,0.08,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
RiskMitigationStaff,RiskMitigationEffort,,,,,,,,,,,,
EndStaff,Staff totals,1.24,1.24,2.48,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,,,,,,,,,
Task,Phase I,,,,,,,,,,,,
Equipment,Vacuum Generation,23,,23,,,,,,,,,
Equipment,Vacuum  Hardware,1,,1,,,,,,,,,
Equipment,Trap/Expt. Hardware,9.5,,9.5,,,,,,,,,
Equipment,Diagnostics,10,,10,,,,,,,,,
Equipment,Control,5,3,8,,,,,,,,,
Equipment,Misc.,1,1,2,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,,,,,,,,,,
TotalEquip,Equipment total,49.5,4,53.5,,,,,,,,,
Consume,Consumables,12.5,16,28.5,,,,,,,,,
Travel,Travel,5,10,15,,,,,,,,,
OtherNonStaff,"PPI, engagement, outreach",2,2,4,,,,,,,,,
NonStaffEnd,Total non-staff costs,69,32,101,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Update History,,,,,,,,,,,,,
12-Jul-22,KL: Strip years 3-5 to leave only the preliminary activity,,,,,,,,,,,,
8/24/2021,"Spreadsheet generated by CB, based upon KL screenshot",,,,,,,,,,,,
8/27/2021,Flags edited to match KL template,,,,,,,,,,,,
09/02/2021,Costs updated by CB,,,,,,,,,,,,
9/23/2021,Costs updated by CB,,,,,,,,,,,,
9/28/2021,"Staff updated by CB, calc. errors fixed",,,,,,,,,,,,
10/08/2021,"Labour cost added, costs updated",,,,,,,,,,,,
10/22/2021,Risk mitigation costs updated,,,,,,,,,,,,
10/25/2021,Costs updated by CB,,,,,,,,,,,,
10/25/2021,Costs updated by CB following CW suggestions,,,,,,,,,,,,
11/02/2021,Costs updated by CB for DN200 vacuum & new magnet,,,,,,,,,,,,
11/03/2021,Staff costs updated by CB,,,,,,,,,,,,
11/04/2021,Costs updated by CB following SJE suggestions,,,,,,,,,,,,
11/05/2021,Cost separation by CB,,,,,,,,,,,,
11/08/2021,Some tidying for processing,,,,,,,,,,,,
09-Nov-21,Removed extra column before staff by month table -- code assumes a certain format!  Future upgrade?,,,,,,,,,,,,
11/26/2021,Costs updated with latest information by CB,,,,,,,,,,,,
3/28/2022,CB reprofile attempt,,,,,,,,,,,,
04/04/2022,CB reprofile attempt,,,,,,,,,,,,
27-Apr-22,CW? Year 1 etc.,,,,,,,,,,,,
17-May-22,KL: Fix student time fraction in year 3 to get proper total,,,,,,,,,,,,
18-Jul-22,CB: Removed Phase II activity & associated line items.  Updated Non-staff totals,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,248,,,,,,,,,,
,,,101,,,,,,,,,,
,,2yr Total,349,,,,,,,,,,
