Date:,17-May-22,Issue,3,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,
Work package,WP2,Laser-driven proton and ion source,,,,,,,,,,,
Manager,WPM,"E. Boella, N. Dover, R. Gray",,,,,,,,,,,
,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,
Years, ,Year 1,Year 2,Total,,Year 1,,,,Year 2,,,
Flag,,Fraction,Fraction,Fraction,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Task,Task 1,,,,,,,,,,,,
Institute,Strathclyde Physics,,,,,,,,,,,,
Staff,Strathclyde-Phys-PDRA-1,0.5,0.5,1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Staff,Strathclyde-Phys-Stf-2,0.1,0.1,0.2,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Institute,Imperial Physics,,,,,,,,,,,,
Staff,IC-Phys-PDRA-1,,0.5,0.5,,,,,,0.5,0.5,0.5,0.5
Staff,IC-Phys-Stf-1,0.43,0.5,0.93,,0.21,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Institute,Lancaster Physics,,,,,,,,,,,,
Staff,Lanc-Phys-Stf-1,0.05,0.05,0.1,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Staff,Lanc-Phys-PDRA-1,0.5,0.5,1,,,,1,1,1,1,,
Institute,Queen's Physics,,,,,,,,,,,,
Staff,Qns-Phys-Stf-1,0.05,0.05,0.1,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
RiskMitigationStaff,Risk mitigation effort,,,,,,,,,,,,
EndStaff,Staff totals,1.63,2.2,3.83,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,,,,,,,,,
Task,Task 1,,,,,,,,,,,,
EquipEnd,Sub-total,,,,,,,,,,,,
RiskMitigationEquip,Cost of facility access mitigation ,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,,,,,,,,,,
TotalEquip,Equipment total,,,,,,,,,,,,
Consume,Consumables,17.5,17.5,35,,,,,,,,,
OtherNonStaff,SCAPA Access ,20,60,80,,,,,,,,,
OtherNonStaff,Imperial Access,25,25,50,,,,,,,,,
Travel,Travel for collaboration meetings/conferences,2,4,6,,,,,,,,,
OtherNonStaff,Costs for domestic travel to beamtime at Strathclyde/Imperial,8,16,24,,,,,,,,,
NonStaffEnd,Total non-staff costs,72.5,122.5,195,,,,,,,,,
,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,
27-Jul-22,ND: Small changes to staff effort at Imperial; reduce consumables; remove lines with staff and equipment not being funded in 2 yr project,,,,,,,,,,,,
12-Jul-22,KL: Strip years 3-5 to leave only Preliminary Activity,,,,,,,,,,,,
26-May-22,KL: Put back student in Lancaster,,,,,,,,,,,,
17-May-22,Updated two travel fields related to travel to beamtime to OtherNonStaff,,,,,,,,,,,,
10-May-22,Specified the travel costs more verbosely,,,,,,,,,,,,
21-Apr-22,ND: I backdated all the changes from edited Ken's document 2022-04-13 including: ,,,,,,,,,,,,
,"Changing student/technicial flags to staff, remove outreach/ppi rows, added zeros and fixed averaging in staff costs, and changing Y1 students to Y2 with Ken's modified costing",,,,,,,,,,,,
10-Dec-21,based of WP2-2021-11-05-LhARA sent by Ken on 8 Dec 2021.  Reprofiled to have the same overall cost but now with ~£695k over years 1+2,,,,,,,,,,,,
08-Nov-21,KL: WP1 instead of source at B1; date updated in B1.  Forrmatting in StaffEffort by quarter,,,,,,,,,,,,
22-Oct-21,"ND: added some QUB costs, increased laser diagnostic costs, extended Imperial PDRA to include RAL secondment, slight increase in travel costs for hosting Stanford students",,,,,,,,,,,,
23-Sep-21,ND: changed staffing costs - RF @ Strathclyde and added QUB contribution,,,,,,,,,,,,
02-Sep-21,"ND: added some staffing costs for ICL, added travel for year 1, added costing for TOF system, increased laser diagnostic cost to include diagnostic system at ICL for active feedback studies, added as-yet-unspecified engineering fees",,,,,,,,,,,,
31-Aug-21,RG: Added additional staff effort and equpment,,,,,,,,,,,,
26-Aug-21,"KL: fix header info (WP title, WPMs)",,,,,,,,,,,,
,"KL: Change ""Access fees"" flag to OtherNonStaff for now",,,,,,,,,,,,
,Minor cosmetic fixes,,,,,,,,,,,,
02-Jul-21,First version for discussion with CW and DC.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2.83,,,,,,,,,,
,,,#REF!,,,,,,,,,,
,,2yr Total,#REF!,,,,,,,,,,
